course_title,course_organization,course_rating,course_difficulty
Human Resource Management: HR for People Managers,University of Minnesota,4.7,Beginner
IBM AI Engineering,IBM,4.6,Intermediate
IBM AI Enterprise Workflow,IBM,4.4,Advanced
IBM Applied AI,IBM,4.6,Beginner
IBM Customer Engagement Specialist Professional Certificate,IBM,4.8,Beginner
IBM Data Science,IBM,4.6,Beginner
IT Fundamentals for Cybersecurity,IBM,4.5,Beginner
IT Security: Defense against the digital dark arts,Google,4.8,Beginner
"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,4.9,Beginner
Implementación del Marketing Mix,IE Business School,4.7,Beginner
Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,4.6,Beginner
Improve Your English Communication Skills,Georgia Institute of Technology,4.7,Beginner
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,4.9,Beginner
Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,4.4,Beginner
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,4.9,Beginner
Indigenous Canada,University of Alberta,4.8,Mixed
Industrial IoT on Google Cloud Platform,Google Cloud,4.5,Beginner
Infectious Disease Modelling,Imperial College London,5.0,Intermediate
Influencer Marketing Strategy,Rutgers the State University of New Jersey,4.4,Intermediate
"Influencing: Storytelling, Change Management and Governance",Macquarie University,4.8,Beginner
Information Security: Context and Introduction,"Royal Holloway, University of London",4.6,Beginner
Information Visualization,New York University,4.6,Beginner
Information​ ​Systems,University of Minnesota,4.7,Beginner
Initiating and Planning Projects,"University of California, Irvine",4.7,Mixed
Innovation Management,Erasmus University Rotterdam,4.6,Beginner
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,4.8,Beginner
Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,4.8,Beginner
Inspirational Leadership: Leading with Sense,HEC Paris,4.5,Beginner
Inspired Leadership,Case Western Reserve University,4.7,Intermediate
Inspiring and Motivating Individuals,University of Michigan,4.8,Mixed
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,4.2,Mixed
Instructional Methods in Health Professions Education,University of Michigan,4.6,Intermediate
Integrative Health and Medicine,University of Minnesota,4.8,Beginner
Intellectual Property Law,University of Pennsylvania,4.8,Intermediate
Interaction Design,University of California San Diego,4.5,Intermediate
Intercultural Management,ESCP Business School,4.6,Beginner
International Business Essentials,University of London,4.5,Intermediate
International Cyber Conflicts,The State University of New York,4.4,Mixed
International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,4.8,Beginner
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,4.8,Mixed
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,4.8,Mixed
International Leadership and Organizational Behavior,Università Bocconi,4.8,Mixed
International Marketing & Cross Industry Growth,Yonsei University,4.6,Beginner
International Organizations Management,University of Geneva,4.8,Beginner
International Security Management,Erasmus University Rotterdam,4.5,Beginner
International Women's Health and Human Rights,Stanford University,4.9,Beginner
International migrations: a global issue,Sciences Po,4.6,Beginner
Internet Connection: How to Get Online?,Cisco,4.7,Beginner
Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,4.8,Mixed
Interviewing and Resume Writing in English,"University of Maryland, College Park",4.6,Intermediate
Introducción a Data Science: Programación Estadística con R,Universidad Nacional Autónoma de México,4.7,Beginner
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,4.4,Beginner
Introduction aux Droits de l’Homme,University of Geneva,4.8,Mixed
Introduction to Ableton Live,Berklee College of Music,4.8,Mixed
Introduction to Artificial Intelligence (AI),IBM,4.7,Beginner
Introduction to Big Data,University of California San Diego,4.6,Mixed
Introduction to Blockchain Technologies,INSEAD,4.7,Beginner
Introduction to Breast Cancer,Yale University,4.9,Mixed
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,4.7,Intermediate
Introduction to CSS3,University of Michigan,4.8,Mixed
Introduction to Calculus,The University of Sydney,4.8,Intermediate
Introduction to Chemistry:  Reactions and Ratios,Duke University,4.8,Beginner
Introduction to Classical Music,Yale University,4.9,Mixed
Introduction to Cloud Computing,IBM,4.6,Beginner
Introduction to Computer Programming,"Goldsmiths, University of London",4.3,Beginner
Introduction to Computer Science and Programming,"Goldsmiths, University of London",4.3,Beginner
Introduction to Corporate Finance,University of Pennsylvania,4.6,Mixed
Introduction to Cyber Attacks,New York University,4.7,Beginner
Introduction to Cyber Security,New York University,4.7,Beginner
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,4.5,Beginner
Introduction to Data Analysis Using Excel,Rice University,4.7,Mixed
Introduction to Data Science,IBM,4.6,Beginner
Introduction to Data Science in Python,University of Michigan,4.5,Intermediate
Introduction to Dental Medicine,University of Pennsylvania,4.8,Beginner
Introduction to Discrete Mathematics for Computer Science,National Research University Higher School of Economics,4.4,Beginner
Introduction to Electronics,Georgia Institute of Technology,4.7,Mixed
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,4.5,Intermediate
Introduction to Engineering Mechanics,Georgia Institute of Technology,4.7,Mixed
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,4.8,Mixed
Introduction to Financial Accounting,University of Pennsylvania,4.7,Mixed
Introduction to Forensic Science,"Nanyang Technological University, Singapore",4.9,Mixed
Introduction to Game Development,Michigan State University,4.8,Mixed
Introduction to Genetics and Evolution,Duke University,4.8,Mixed
Introduction to Genomic Technologies,Johns Hopkins University,4.6,Mixed
Introduction to HTML5,University of Michigan,4.7,Mixed
Introduction to Imagemaking,California Institute of the Arts,4.5,Beginner
Introduction to Intellectual Property,University of Pennsylvania,4.8,Beginner
Introduction to International Criminal Law,Case Western Reserve University,4.8,Mixed
Introduction to Marketing,University of Pennsylvania,4.8,Mixed
Introduction to Mathematical Thinking,Stanford University,4.8,Intermediate
Introduction to Operations Management,University of Pennsylvania,4.5,Mixed
Introduction to Personal Branding,University of Virginia,4.4,Beginner
Introduction to Philosophy,The University of Edinburgh,4.6,Mixed
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,4.8,Mixed
Introduction to Probability and Data,Duke University,4.7,Beginner
Introduction to Programming in C,Duke University,4.7,Beginner
Introduction to Programming with MATLAB,Vanderbilt University,4.8,Beginner
Introduction to Psychology,Yale University,4.9,Beginner
Introduction to Scripting in Python,Rice University,4.7,Beginner
Introduction to Self-Driving Cars,University of Toronto,4.8,Advanced
Introduction to Spreadsheets and Models,University of Pennsylvania,4.2,Mixed
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,4.7,Beginner
Introduction to Sustainability,University of Illinois at Urbana-Champaign,4.8,Mixed
Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,4.8,Mixed
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),4.7,Mixed
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",deeplearning.ai,4.7,Intermediate
Introduction to Thermodynamics: Transferring Energy from Here to There,University of Michigan,4.8,Beginner
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,4.0,Intermediate
Introduction to Typography,California Institute of the Arts,4.8,Beginner
Introduction to User Experience Design,Georgia Institute of Technology,4.5,Beginner
Introduction to User Experience Principles and Processes,University of Michigan,4.8,Beginner
Introduction to Web Development,"University of California, Davis",4.7,Beginner
Introduction to the Biology of Cancer,Johns Hopkins University,4.8,Beginner
Introductory Human Physiology,Duke University,4.7,Mixed
Introdução aos Princípios e Práticas da Gestão De Projetos,Universidade de São Paulo,4.9,Beginner
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,4.9,Beginner
Investment Management,University of Geneva,4.7,Beginner
Investment Management with Python and Machine Learning,EDHEC Business School,4.6,Beginner
Investment and Portfolio Management,Rice University,4.5,Beginner
Japanese for beginners 1,Saint Petersburg State University,4.6,Beginner
Java Programming and Software Engineering Fundamentals,Duke University,4.6,Beginner
Java Programming: Solving Problems with Software,Duke University,4.6,Beginner
Julia Scientific Programming,University of Cape Town,4.5,Beginner
Kotlin for Java Developers,JetBrains,4.7,Intermediate
L'excellence opérationnelle en pratique,ESSEC Business School,4.7,Beginner
"L'impact investing, la finance qui change le monde",ESSEC Business School,4.6,Beginner
Leadership Development for Engineers,Rice University,4.7,Beginner
Leadership in 21st Century Organizations,Copenhagen Business School,4.7,Mixed
Leading Healthcare Quality and Safety,The George Washington University,4.8,Beginner
Leading People and Teams,University of Michigan,4.7,Beginner
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,4.7,Intermediate
Leading: Human Resource Management and Leadership,Macquarie University,4.8,Intermediate
Learn Chinese: HSK Test Preparation,Peking University,4.8,Beginner
Learn English,Tsinghua University,4.3,Beginner
Learn English: Advanced Academic Speaking and Listening,"University of California, Irvine",4.5,Intermediate
Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",4.8,Advanced
Learn English: Intermediate Grammar,"University of California, Irvine",4.7,Intermediate
Learn Mandarin Chinese,Shanghai Jiao Tong University,4.8,Beginner
Learn SQL Basics for Data Science,"University of California, Davis",4.6,Beginner
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",4.6,Beginner
Learn to Program: The Fundamentals,University of Toronto,4.8,Beginner
Learn to Speak Korean 1,Yonsei University,4.9,Beginner
Learning to Teach Online,UNSW Sydney (The University of New South Wales),4.7,Beginner
Legal Tech & Startups,IE Business School,4.5,Intermediate
Les Fondamentaux de la Négociation,ESSEC Business School,4.7,Beginner
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,4.8,Intermediate
Linear Circuits 1: DC Analysis,Georgia Institute of Technology,4.6,Mixed
Love as a Force for Social Justice,Stanford University,4.7,Beginner
Machine Learning,University of Washington,4.6,Intermediate
Machine Learning Foundations: A Case Study Approach,University of Washington,4.6,Mixed
Machine Learning and Reinforcement Learning in Finance,New York University,3.7,Intermediate
Machine Learning for All,University of London,4.6,Beginner
Machine Learning for Business Professionals,Google Cloud,4.6,Intermediate
Machine Learning for Trading,Google Cloud,3.9,Intermediate
Machine Learning with Python,IBM,4.7,Intermediate
Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,4.5,Intermediate
Magic in the Middle Ages,Universitat de Barcelona,4.6,Beginner
Making Architecture,IE School of Architecture & Design,4.7,Beginner
Management of Fashion and Luxury Companies,Università Bocconi,4.7,Mixed
Managerial Accounting Fundamentals,University of Virginia,4.9,Beginner
Managerial Economics and Business Analysis,University of Illinois at Urbana-Champaign,4.7,Beginner
Managing Innovation and Design Thinking,HEC Paris,4.7,Beginner
Managing Project Risks and Changes,"University of California, Irvine",4.7,Mixed
Managing Social and Human Capital,University of Pennsylvania,4.5,Beginner
Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,4.6,Beginner
Market Research,"University of California, Davis",4.5,Beginner
Marketing Digital,Universidade de São Paulo,4.8,Beginner
Marketing Gerencial,Universidad de Chile,4.7,Intermediate
Marketing Mix Implementation,IE Business School,4.6,Beginner
Marketing Strategy,IE Business School,4.4,Beginner
Marketing Verde,Universidad de los Andes,4.8,Mixed
Marketing con Redes Sociales,Tecnológico de Monterrey,4.4,Intermediate
